id,code_INSEE,commune,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,latitude,longitude,altitude_med
289,7258,Saint-Julien-Vocance,50000,2015,Jul,14,22,Malveillance,NA,45.1676,4.4897,1090.0
290,84129,Sorgues,250000,2015,Jul,12,18,Malveillance,NA,44.016,4.8555,20.0
291,2B079,Castello-di-Rostino,125400,2015,Jul,10,12,Malveillance,NA,42.4732,9.2967,499.0
292,11259,Moussoulens,299200,2015,Jul,13,14,Involontaire,particulier,43.2847,2.2343,280.0
293,2B059,Canavaggia,52292,2015,Jul,19,16,Malveillance,NA,42.4987,9.2341,240.0
294,26318,Saint-May,60000,2015,Jul,11,14,Involontaire,particulier,44.4243,5.3272,556.0
295,34103,Font̬s,86200,2015,Jul,12,2,Malveillance,NA,43.5414,3.3881,40.0
296,34003,Agde,70000,2015,Jul,19,18,Involontaire,particulier,43.3084,3.4839,2.0
297,34019,Av̬ne,60150,2015,Jul,20,12,Involontaire,travaux,43.7513,3.1107,435.0
298,34181,Neffi̬s,92500,2015,Feb,23,16,Malveillance,NA,43.5381,3.3363,122.0
299,2B095,Corscia,113588,2015,Jul,28,1,Malveillance,NA,42.3627,9.0453,1063.0
300,2B290,Speloncato,488130,2015,Jul,25,22,Malveillance,NA,42.5757,8.9731,844.0
301,2B185,Oletta,78800,2015,Jul,27,11,Malveillance,NA,42.6451,9.3453,54.0
302,2B361,Zilia,322405,2015,Jul,30,10,Accidentelle,NA,42.5181,8.8989,450.0
303,34237,Roujan,78000,2015,Jul,25,12,Accidentelle,NA,43.5119,3.3082,73.0
304,30231,Saint-Andr̩-de-Valborgne,934600,2015,Jul,30,15,Malveillance,NA,44.15,3.6998,450.0
305,48122,Qu̩zac,56500,2015,Jul,1,8,Involontaire,travaux,44.3667,3.5333,618.0
306,48074,Hures-la-Parade,161000,2015,Jul,31,15,Involontaire,travaux,44.2479,3.3851,1054.0
307,34242,Saint-Bauzille-de-Montmel,590000,2015,Aug,8,14,Accidentelle,NA,43.7762,3.9434,160.0
308,83061,Fr̩jus,167300,2015,Jul,27,13,Malveillance,NA,43.4553,6.7848,18.0
309,66076,Felluns,50000,2015,Jun,25,16,Involontaire,particulier,42.7613,2.4877,515.0
310,66205,Tautavel,80000,2015,Jul,14,16,Malveillance,NA,42.8163,2.7161,182.0
311,66215,Tr̩villach,350000,2015,Jul,20,16,Malveillance,NA,42.7091,2.5105,251.0
312,66058,Corneilla-la-Rivi̬re,270000,2015,Jul,21,11,Accidentelle,NA,42.7098,2.7247,103.0
313,66136,Perpignan,50000,2015,Jul,28,17,Malveillance,NA,42.699,2.9045,42.0
314,66205,Tautavel,60000,2015,Jul,29,17,Malveillance,NA,42.8163,2.7161,182.0
315,84147,Villelaure,70000,2015,Aug,6,19,Involontaire,particulier,43.7066,5.4266,70.0
316,2B080,Castifao,56360,2015,Aug,8,15,Malveillance,NA,42.5308,9.1339,560.0
317,34302,Siran,185000,2015,Aug,12,13,Malveillance,NA,43.3298,2.6641,131.0
318,66030,Calce,82600,2015,Aug,19,14,Malveillance,NA,42.7477,2.7545,182.0
319,13005,Aubagne,92700,2015,Aug,17,16,Malveillance,NA,43.2904,5.5643,105.0
