id,code_INSEE,commune,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,RR_med,NBJRR1_med,NBJRR5_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med
352,6103,RoquebilliÃ¨re,102300,2015,Apr,15,13,Malveillance,NA,72.0,6.0,3.0,2.0,5.1,17.6,7.9,2.3,0.0,0.0
353,26113,Die,73000,2015,Mar,13,13,Involontaire,particulier,64.9,7.0,4.0,2.0,5.4,18.5,9.9,1.5,3519.0,12971.0
354,12163,Murasson,200000,2016,Feb,21,18,Malveillance,NA,106.3,10.0,6.0,4.0,5.7,16.6,9.3,5.3,3138.0,12100.0
355,12082,Couvertoirade (La),70000,2016,Jul,19,9,Involontaire,travaux,68.45,7.0,4.0,2.0,5.7,15.7,9.55,3.9,0.0,0.0
356,12076,Conques-en-Rouergue,50000,2016,Aug,15,16,Accidentelle,NA,71.25,9.5,5.0,2.0,5.4,14.6,9.65,3.4,3345.0,11451.0
357,46183,Marcilhac-sur-CÃ©lÃ©,220000,2016,Aug,16,21,Naturelle,NA,68.2,9.0,4.0,2.0,5.8,18.8,10.4,3.1,3493.0,13687.0
358,18219,Saint-Laurent,93300,2016,Aug,11,16,Accidentelle,NA,62.0,10.0,4.0,2.0,7.7,16.7,10.9,0.4,2061.5,9635.0
359,81066,CaucaliÃ¨res,800000,2016,Sep,5,15,Accidentelle,NA,71.6,9.0,4.0,2.0,5.7,14.0,10.05,4.4,3575.0,13240.0
360,58081,ColmÃ©ry,80000,2016,Aug,30,12,Malveillance,NA,69.7,10.0,4.0,2.0,6.35,16.1,10.7,2.6,2877.0,12180.0
361,17038,Bedenac,104100,2016,Aug,16,18,Malveillance,NA,53.0,9.0,4.0,2.0,7.3,17.9,11.4,1.3,0.0,0.0
362,17074,Bussac-ForÃªt,52600,2016,Sep,12,15,Malveillance,NA,68.75,10.0,5.0,2.0,9.1,18.8,11.8,1.3,3273.5,11612.5
363,17110,ClÃ©rac,220000,2016,Sep,12,16,Malveillance,NA,53.0,9.0,4.0,2.0,7.3,17.9,11.4,1.3,3402.5,12764.5
364,47234,Saint-Caprais-de-Lerm,50050,2016,Sep,13,19,Involontaire,travaux,59.65,9.0,4.0,2.0,9.5,19.5,11.6,2.4,3234.0,13215.0
365,33273,Martignas-sur-Jalle,80000,2016,Sep,8,15,Accidentelle,NA,65.25,10.0,4.0,2.0,8.25,19.4,11.9,1.5,3746.0,13644.0
366,2B183,Ogliastro,60000,2016,Mar,31,12,Malveillance,NA,40.85,5.0,3.0,1.0,13.5,18.95,12.55,4.3,4212.0,14636.0
367,2B281,Sisco,200000,2016,Apr,2,18,Malveillance,NA,81.25,8.0,5.5,3.0,13.3,18.7,12.95,4.3,4212.0,14636.0
368,2B109,Farinole,50000,2016,Apr,1,21,Malveillance,NA,63.55,4.5,2.0,2.0,10.65,17.0,13.3,2.3,4212.0,14636.0
369,6142,TouÃ«t-de-l'EscarÃ¨ne,107161,2016,Mar,26,14,Involontaire,particulier,50.4,5.0,3.0,2.0,7.8,17.55,9.6,1.7,0.0,0.0
370,48166,Cans et CÃ©vennes,104100,2016,Mar,26,14,Involontaire,particulier,65.95,7.0,4.0,2.0,5.6,14.35,8.8,4.2,0.0,0.0
371,48194,Vialas,151100,2016,Mar,26,14,Involontaire,travaux,99.5,8.0,5.0,3.0,7.9,16.4,8.5,3.3,3865.5,13845.0
372,84034,Caumont-sur-Durance,200000,2016,Mar,23,12,Malveillance,NA,45.05,5.0,2.0,1.0,9.2,19.1,10.8,3.0,4448.0,15394.0
373,6098,Puget-Rostang,60324,2016,Apr,12,10,Involontaire,particulier,64.85,6.0,3.0,2.0,7.2,18.3,10.1,2.4,4156.5,14931.0
374,6074,Lantosque,131743,2016,Apr,12,15,Malveillance,NA,63.4,5.0,3.0,2.0,6.9,19.8,7.8,2.3,0.0,0.0
375,2B159,Meria,83700,2016,Apr,18,19,Malveillance,NA,40.2,4.0,2.0,1.0,13.5,18.95,12.55,4.3,4212.0,14636.0
376,2B313,San-Nicolao,90000,2016,Apr,18,21,Malveillance,NA,46.8,6.0,3.0,1.0,9.45,20.75,13.3,3.6,4212.0,14636.0
377,34103,FontÃ¨s,140300,2016,Apr,19,13,Malveillance,NA,48.7,3.0,2.0,1.0,8.9,19.7,11.0,2.7,4299.0,14539.5
378,34004,Agel,142600,2016,May,5,12,Involontaire,particulier,38.2,5.0,2.0,1.0,9.9,19.9,11.0,3.9,3965.0,14346.5
379,7202,SabliÃ¨res,200000,2016,Mar,15,17,Involontaire,travaux,97.55,7.0,4.0,3.0,8.5,18.7,9.7,1.5,0.0,0.0
380,6074,Lantosque,62601,2016,May,28,22,Malveillance,NA,63.4,5.0,3.0,2.0,6.9,19.8,7.8,2.3,0.0,0.0
381,34166,Montblanc,425000,2016,Jun,27,15,Involontaire,particulier,27.95,4.0,2.0,1.0,10.3,19.9,11.8,4.0,4120.0,14757.0
382,11198,Laure-Minervois,140300,2016,Jun,30,17,Malveillance,NA,30.5,4.0,2.0,1.0,9.6,17.5,11.2,4.5,3476.0,13610.0
