code_INSEE,latitude,longitude,altitude_med
12082,43.9307,3.2848,729.0
12076,44.5817,2.3895,320.0
46183,44.5486,1.78,281.0
18219,47.2434,2.1855,155.0
81066,43.5416,2.3141,198.0
58081,47.346,3.2441,216.0
17038,45.1799,-0.3109,66.0
17074,45.1928,-0.3774,96.0
47234,44.2149,0.7544,140.0
33273,44.8451,-0.8006,60.0
2B281,42.8152,9.4389,354.0
2B109,42.7306,9.363,300.0
6142,43.8516,7.3799,843.0
48166,44.2834,3.6443,903.0
48194,44.3466,3.893,610.0
84034,43.8813,4.955,54.0
6098,44.0056,6.9333,860.0
2B159,42.9179,9.4319,278.0
2B313,42.3687,9.5069,14.0
34004,43.3498,2.8544,219.0
34166,43.3775,3.3569,15.0
66143,42.7736,2.6215,167.0
66140,42.7089,2.76,110.0
11308,43.2802,2.1614,134.0
11273,43.2561,2.8133,80.0
11099,43.2815,2.38,120.0
83069,43.1139,6.2357,6.0
83064,43.3397,6.0426,189.0
13026,43.3905,5.1465,9.0
13056,43.3839,5.0451,12.0
66180,42.8073,2.9993,3.0
66071,42.7642,2.7077,182.0
11144,42.8992,2.9572,42.0
48004,44.457,3.8559,900.0
34145,43.678,4.1329,10.0
34163,43.648,3.7053,100.0
11390,43.0947,2.7918,85.0
34148,43.3733,3.154,26.0
2B009,42.0993,9.4972,41.0
66106,42.4635,2.7999,565.0
30181,43.9062,4.121,108.0
30141,44.1051,4.6615,43.0
11162,43.211,1.9309,302.0
34285,43.5102,3.5136,22.0
66164,42.7761,2.8769,42.0
66212,42.757,3.0059,7.0
11148,43.1693,2.6904,56.0
11361,43.3376,2.0437,180.0
13118,43.5587,5.2559,198.0
13097,43.6074,4.8688,12.0
2B105,42.252,9.2642,179.0
2B238,42.269,9.2048,350.0
2B148,42.5393,9.465,37.0
2B116,42.2472,9.2856,179.0
84030,44.11,5.1078,98.0
34073,43.3314,3.3176,15.0
11286,43.2951,2.5714,125.0
11410,43.2507,2.4191,120.0
34291,43.558,2.8693,955.0
2B299,42.4173,9.4266,185.0
34055,43.6771,2.95,424.0
2B140,42.5259,9.2642,480.0
7018,44.6841,4.0211,1230.0
66192,42.5166,2.1461,1151.0
5164,44.53,6.395,765.0
4193,44.5647,6.8188,1908.0
30154,44.0257,3.6275,485.0
30169,43.7831,4.3081,24.0
6049,43.7514,7.0196,985.0
43171,45.0271,3.6261,985.0
73235,45.3959,6.3554,460.0
12168,44.0204,3.2887,794.0
43155,45.025,3.5972,985.0
81163,43.4666,2.3863,718.0
16061,45.7329,0.2623,161.0
16255,45.9264,0.4221,162.0
45015,48.2786,2.0961,127.0
97410,-21.0887,55.6312,850.0
31573,43.6579,1.6792,118.0
31085,42.9169,0.7722,800.0
31222,42.8501,0.644,500.0
15156,44.8272,2.4647,762.0
15113,45.0775,2.6649,1060.0
97415,-21.0366,55.3402,1200.0
24465,45.0977,0.2714,120.0
65045,42.986,-0.1986,1105.0
2A019,42.123,8.7958,414.0
6146,43.942,7.1596,630.0
2A041,41.4217,9.1973,107.0
6077,43.8997,7.3506,1420.0
5038,44.7617,6.811,1825.0
26354,44.7318,5.5412,1010.0
7141,44.6071,4.2948,360.0
48165,44.6001,3.1752,1150.0
48020,44.1627,3.6013,1042.0
30190,44.05,3.7,367.0
13039,43.4546,4.8979,1.0
6157,43.7373,7.0995,299.0
34183,43.282,3.1051,33.0
34135,43.2737,3.1689,37.0
13098,43.4565,5.0152,4.0
83101,43.2115,6.6449,31.0
4020,44.2815,6.2532,886.0
5101,44.8646,6.4333,1270.0
34214,43.478,3.2727,73.0
5108,44.5667,6.4129,873.0
66053,42.5087,3.0744,72.0
34031,43.3566,3.4141,20.0
34013,43.5654,3.4499,40.0
4160,43.8884,5.6565,455.0
48100,44.5992,3.7182,1080.0
6050,43.7898,7.0384,985.0
2A103,41.9776,8.884,600.0
2A198,42.2537,8.7362,28.0
2A323,42.0327,8.8873,433.0
6156,44.0412,7.2386,1130.0
2A215,41.5209,9.0456,100.0
13072,43.4375,5.6204,201.0
6034,43.79,7.2298,78.0
6130,43.6994,6.8516,708.0
30189,43.8322,4.3429,39.0
30351,43.9776,4.792,20.0
4218,44.1019,6.4854,968.0
66138,42.7484,2.8471,42.0
66024,42.5267,2.8328,148.0
13047,43.5455,4.9476,1.0
26022,44.2476,5.6478,660.0
2A249,41.651,8.89,5.0
2A017,41.9965,8.7311,317.0
2A001,41.981,8.7975,235.0
66130,42.3923,2.0006,1446.0
66003,42.4508,2.687,252.0
83119,43.2619,6.6638,31.0
13077,43.4207,4.9993,4.0
30081,44.1549,4.6902,63.0
6101,43.9942,6.976,860.0
30258,43.6606,4.4128,94.0
2B277,41.9668,9.3353,198.0
7251,44.7515,4.4147,500.0
34076,43.6512,3.4628,110.0
4024,44.2144,6.3714,920.0
2B039,42.4816,9.3137,499.0
4171,43.7866,6.3951,1110.0
84084,43.7817,5.5237,250.0
84050,43.9074,5.204,488.0
2B292,42.2767,9.2792,179.0
13073,43.3834,5.57,201.0
34096,43.5665,3.174,184.0
7086,45.094,4.7381,160.0
26116,44.4347,4.71,90.0
2A345,42.0576,8.9198,291.0
13055,43.2803,5.3806,1.0
2B301,42.6448,9.1688,480.0
83142,43.7365,6.438,884.0
34211,43.5848,3.0528,190.0
6066,43.8436,7.1602,723.0
34213,43.4976,3.6623,34.0
4008,43.9631,6.6631,705.0
4148,43.8168,6.6495,967.0
48008,44.6598,3.608,1300.0
