id,code_INSEE,annee,mois,jour,heure,tmax_med
891,61230,2022,Jul,26,19,19.35
892,61234,2022,Jun,12,15,15.1
893,61240,2022,Jul,19,14,17.0
894,61244,2022,Mar,25,17,14.6
895,61248,2022,Jul,16,19,15.95
896,61263,2022,Aug,10,12,16.2
897,6130,2017,Jul,24,15,16.6
898,6130,2020,Feb,11,6,16.6
899,61309,2022,Jul,15,14,15.55
900,6132,2014,Dec,29,5,19.8
901,6132,2015,Apr,11,14,19.8
902,61329,2022,Aug,12,11,16.1
903,61346,2022,Aug,24,14,16.25
904,61375,2022,Jul,12,11,14.7
905,61397,2022,Aug,23,14,15.1
906,61407,2022,Aug,10,17,15.2
907,61413,2022,Sep,19,15,15.65
908,61418,2022,Jul,26,17,15.2
909,6142,2016,Mar,26,14,17.55
910,61421,2022,Jul,15,14,15.5
911,61429,2022,Jul,26,14,15.2
912,61435,2022,Aug,25,15,14.9
913,61440,2022,Jul,21,19,14.9
914,61440,2022,Jul,25,18,14.9
915,61445,2022,Jul,8,17,15.15
916,61447,2022,Jul,30,18,15.15
917,61457,2022,Jul,8,17,14.9
918,6146,2017,Apr,7,13,16.5
919,61460,2022,Aug,5,18,14.95
920,61461,2022,Jul,19,15,15.1
921,61475,2022,Aug,27,15,15.2
922,6148,2019,Jan,27,11,18.5
923,61486,2022,Jul,18,19,14.3
924,61490,2022,Aug,12,15,15.8
925,6153,2013,Dec,13,14,4.1
926,6153,2019,Mar,4,15,4.1
927,6153,2022,Feb,26,14,4.1
928,6153,2022,Mar,24,10,4.1
929,6156,2017,Feb,26,10,17.6
930,6157,2017,Jan,25,14,20.25
931,6157,2017,Jul,3,17,20.25
932,6157,2021,Jul,14,12,20.25
933,6162,2015,Mar,12,9,19.1
934,6163,2021,Apr,7,12,19.1
935,6163,2022,Sep,19,11,19.1
936,63006,2021,Feb,25,13,11.9
937,63006,2021,Mar,6,14,11.9
938,64067,2020,Sep,17,13,20.4
939,64124,2019,Mar,3,10,20.4
940,64217,2022,Oct,28,19,19.2
941,64218,2019,Feb,16,12,19.2
942,64218,2019,Feb,17,7,19.2
943,64223,2020,Feb,24,14,14.3
944,64233,2022,Sep,14,16,24.9
945,64255,2019,Mar,3,15,20.4
946,64276,2019,Mar,3,14,17.1
947,64298,2019,Mar,3,17,16.55
948,64342,2019,Feb,22,14,19.4
949,64477,2019,Feb,27,11,16.25
950,64504,2019,Feb,16,18,18.5
951,64559,2020,Sep,18,13,21.4
952,65032,2019,Mar,16,21,14.2
953,65045,2017,Mar,17,13,14.2
954,65066,2013,Apr,14,14,21.4
955,65295,2022,Feb,8,14,23.5
956,65352,2014,Mar,20,14,18.9
957,65428,2019,Jan,4,8,16.1
958,66002,2021,Aug,28,19,19.3
959,66003,2017,Feb,22,14,20.6
960,66004,2012,Jul,4,10,12.3
961,66005,2012,Aug,24,13,12.6
962,66008,2015,Jun,26,18,17.95
963,66008,2016,Aug,13,15,17.95
964,66008,2019,Jul,15,13,17.95
965,66011,2017,Sep,2,12,19.2
966,66012,2021,Jul,19,13,19.45
967,66014,2015,Mar,13,12,19.45
968,66014,2017,Aug,7,13,19.45
969,66014,2022,Jun,12,14,19.45
970,66015,2020,Aug,23,0,20.9
971,66016,2012,Mar,25,12,17.95
972,66016,2013,Oct,9,10,17.95
973,66016,2016,Sep,24,15,17.95
974,66016,2017,Nov,6,11,17.95
975,66016,2019,Sep,5,5,17.95
976,66017,2020,Jul,4,13,19.3
977,66021,2012,Jul,16,13,19.3
978,66024,2017,Jul,18,17,20.9
979,66030,2012,Aug,14,10,19.5
980,66030,2015,Aug,19,14,19.5
981,66030,2016,Aug,22,8,19.5
982,66030,2016,Jul,5,4,19.5
983,66030,2016,Jun,25,11,19.5
984,66030,2016,Sep,9,14,19.5
985,66030,2020,Aug,21,14,19.5
986,66041,2022,Jun,28,18,19.45
987,66046,2022,Aug,15,2,19.4
988,66048,2013,Feb,3,16,17.95
989,66048,2016,Mar,8,13,17.95
990,66048,2021,Jul,31,16,17.95
991,66049,2020,Aug,5,17,20.6
992,66053,2017,Jun,19,18,17.95
993,66056,2012,Jun,25,14,19.5
994,66058,2015,Jul,21,11,19.5
995,66065,2018,Sep,4,16,19.3
996,66066,2017,Mar,15,17,12.6
