id,commune,code_INSEE,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec
70,Ille-sur-TÃªt,66088,70000,2012,Jun,25,17,Involontaire,particulier
71,Canari,2B058,50000,2012,Jun,23,15,Involontaire,travaux
72,Villespassans,34339,140000,2012,Jun,23,14,Involontaire,particulier
73,Vinon-sur-Verdon,83150,50000,2012,Jul,11,14,Involontaire,travaux
74,Oletta,2B185,60000,2012,Jul,12,10,Malveillance,NA
75,Castello-di-Rostino,2B079,185100,2012,Jul,13,12,Malveillance,NA
76,Favalello,2B110,150067,2012,Jul,13,13,Malveillance,NA
77,Conilhac-de-la-Montagne,11097,267000,2012,Jul,13,15,Involontaire,travaux
78,Angles (Les),66004,300000,2012,Jul,4,10,Naturelle,NA
79,Bompas,66021,100000,2012,Jul,16,13,Involontaire,travaux
80,Feliceto,2B112,650000,2012,Jul,15,19,Malveillance,NA
81,Trausse,11396,672258,2012,Jul,19,11,Involontaire,travaux
82,Carcassonne,11069,95300,2012,Jul,21,17,Malveillance,NA
83,Digne-les-Bains,4070,50000,2012,Jun,22,14,Involontaire,particulier
84,Oletta,2B185,59000,2012,Jul,25,16,Malveillance,NA
85,Bousquet-d'Orb (Le),34038,130000,2012,Feb,8,16,Involontaire,particulier
86,Grandrieu,48070,350000,2012,Apr,28,18,Accidentelle,NA
87,Oletta,2B185,60000,2012,Jul,30,12,Malveillance,NA
88,Oletta,2B185,60000,2012,Jul,30,15,Malveillance,NA
89,Calenzana,2B049,60000,2012,Aug,4,15,Malveillance,NA
90,Orgon,13067,74000,2012,Jul,16,18,Malveillance,NA
91,Aix-en-Provence,13001,180000,2012,Jul,23,15,Malveillance,NA
92,Narbonne,11262,582300,2012,Aug,9,16,Accidentelle,NA
93,Octon,34186,52000,2012,Feb,21,20,Involontaire,travaux
94,Peyriac-de-Mer,11285,71100,2012,Aug,13,16,Malveillance,NA
95,BÃ©ziers,34032,54000,2012,Jun,25,15,Accidentelle,NA
96,Oletta,2B185,90000,2012,Aug,20,12,Malveillance,NA
97,Borne,7038,500000,2012,Aug,21,17,Naturelle,NA
98,Malarce-sur-la-Thines,7147,80000,2012,Aug,21,7,Accidentelle,NA
99,Saint-Ã‰tienne-VallÃ©e-FranÃ§aise,48148,50000,2012,Feb,15,15,Involontaire,particulier
100,Perthus (Le),66137,120000,2012,Jul,22,13,Malveillance,NA
101,Montbazin,34165,414500,2012,Aug,18,16,Malveillance,NA
102,Pia,66141,140000,2012,Jul,28,16,Accidentelle,NA
103,Espira-de-l'Agly,66069,50000,2012,Aug,12,4,Malveillance,NA
104,Puget-sur-Argens,83099,254000,2012,Aug,31,14,Involontaire,particulier
105,Causses-et-Veyran,34061,230000,2012,Aug,28,1,Malveillance,NA
106,Calce,66030,50000,2012,Aug,14,10,Malveillance,NA
107,Tresserre,66214,160000,2012,Aug,17,13,Accidentelle,NA
108,Angoustrine-Villeneuve-des-Escaldes,66005,630000,2012,Aug,24,13,Involontaire,particulier
109,Ille-sur-TÃªt,66088,50000,2012,Sep,10,2,Malveillance,NA
110,Villeneuve-de-la-Raho,66227,150000,2012,Sep,13,20,Accidentelle,NA
111,TrÃ¨bes,11397,143800,2012,Sep,14,13,Involontaire,particulier
112,PortÃ©-Puymorens,66147,50000,2012,Jul,18,15,Naturelle,NA
113,Revest-du-Bion,4163,297000,2012,Jul,18,18,Involontaire,travaux
114,Puimichel,4156,264000,2012,Jul,26,15,Involontaire,travaux
115,Velaux,13112,320000,2012,Sep,13,17,Malveillance,NA
116,Bruis,5024,400000,2012,Aug,27,13,Naturelle,NA
117,Saint-AndÃ©ol-de-Vals,7210,70000,2012,Feb,22,17,Involontaire,particulier
118,Ajaccio,2A004,438000,2012,Aug,31,16,Malveillance,NA
119,Ajaccio,2A004,50000,2012,Sep,2,16,Malveillance,NA
120,Prats-de-Mollo-la-Preste,66150,90000,2012,Nov,13,10,Involontaire,travaux
121,Sainte-Marguerite-LafigÃ¨re,7266,230000,2012,Feb,23,13,Involontaire,particulier
122,EscarÃ¨ne (L'),6057,52400,2012,Feb,20,13,Involontaire,travaux
123,Plourivo,22233,200000,2013,May,9,16,Accidentelle,NA
124,ClÃ©rac,17110,90000,2013,Jun,3,13,Accidentelle,NA
125,Tauriac-de-CamarÃ¨s,12275,120000,2013,Jul,13,13,Involontaire,travaux
126,Saint-PrÃ©jet-d'Allier,43220,124000,2013,Sep,4,14,Involontaire,particulier
127,Barrancoueu,65066,500000,2013,Apr,14,14,Involontaire,travaux
128,Caylus,82038,70000,2013,Apr,17,16,Accidentelle,NA
129,Lapouyade,33230,344800,2013,Mar,4,15,Involontaire,travaux
130,Mazeyrolles,24263,220000,2013,Mar,5,14,Accidentelle,NA
131,Le SouliÃ©,34305,104300,2013,Apr,25,15,Involontaire,travaux
132,BelgodÃ¨re,2B034,60000,2013,Jun,23,16,Involontaire,particulier
133,Vignale,2B350,60000,2013,Jun,29,14,Malveillance,NA
134,CerbÃ¨re,66048,300000,2013,Feb,3,16,Accidentelle,NA
135,Bayons,4023,153000,2013,Mar,4,0,Involontaire,travaux
136,Bayons,4023,87000,2013,Mar,4,0,Involontaire,travaux
137,Montegrosso,2B167,175800,2013,Jul,12,11,Malveillance,NA
138,Beaucaire,30032,72745,2013,Jul,17,13,Accidentelle,NA
139,Oletta,2B185,118300,2013,Jul,25,11,Malveillance,NA
140,Prades-sur-Vernazobre,34218,58000,2013,Jul,25,10,Involontaire,travaux
141,Ghisonaccia,2B123,60000,2013,Aug,2,15,Malveillance,NA
142,Oletta,2B185,144800,2013,Aug,4,12,Malveillance,NA
143,Beaucaire,30032,62659,2013,Jul,23,21,Malveillance,NA
144,Douzens,11122,153000,2013,Aug,9,16,Involontaire,particulier
145,Saint-Nazaire,66186,70000,2013,Aug,10,13,Malveillance,NA
146,Ghisonaccia,2B123,60000,2013,Aug,20,12,Malveillance,NA
147,Vignale,2B350,557600,2013,Aug,20,11,Malveillance,NA
148,Patrimonio,2B205,99200,2013,Aug,25,16,Involontaire,travaux
149,Valmascle,34323,65200,2013,Aug,27,18,Malveillance,NA
150,Beauvoisin,30033,146571,2013,Sep,1,10,Malveillance,NA
151,Magalas,34147,78000,2013,Sep,1,16,Involontaire,particulier
152,Valle-di-Rostino,2B337,230500,2013,Sep,4,14,Malveillance,NA
153,Tautavel,66205,190000,2013,Aug,24,17,Malveillance,NA
154,Olmeta-di-Capocorso,2B187,50000,2013,Sep,13,12,Malveillance,NA
155,Linguizzetta,2B143,80000,2013,Sep,14,18,Malveillance,NA
156,Oletta,2B185,111400,2013,Sep,17,7,Malveillance,NA
157,Saint-Florent,2B298,50000,2013,Sep,17,7,Malveillance,NA
158,Oletta,2B185,60000,2013,Sep,17,11,Malveillance,NA
159,Saint-Pargoire,34281,681500,2013,Sep,20,5,Malveillance,NA
160,Les Vans,7334,300000,2013,Sep,19,15,Involontaire,travaux
161,Beaufort,34026,220000,2013,Sep,19,18,Malveillance,NA
162,Ponteilla,66145,70000,2013,Sep,20,3,Involontaire,particulier
163,Narbonne,11262,916000,2013,Sep,19,12,Accidentelle,NA
164,Olmeta-di-Tuda,2B188,87000,2013,Oct,1,11,Malveillance,NA
165,Sorio,2B287,560000,2013,Oct,4,10,Malveillance,NA
166,Banyuls-sur-Mer,66016,50000,2013,Oct,9,10,Involontaire,travaux
167,Montegrosso,2B167,60000,2013,Oct,11,16,Involontaire,particulier
168,Perpignan,66136,60000,2013,Oct,23,14,Malveillance,NA
169,Allauch,13002,114000,2013,Oct,22,19,Malveillance,NA
170,Calenzana,2B049,384300,2013,Nov,3,12,Malveillance,NA
171,Olcani,2B184,156900,2013,Nov,7,17,Involontaire,travaux
172,Brando,2B043,191200,2013,Nov,9,20,Accidentelle,NA
173,Ouveillan,11269,51800,2013,Mar,15,10,Involontaire,particulier
174,Saint-ThibÃ©ry,34289,78400,2013,Nov,14,14,Malveillance,NA
175,Montesquieu,34168,54000,2013,Nov,30,7,Malveillance,NA
176,Valdeblore,6153,57500,2013,Dec,13,14,Malveillance,NA
177,MouriÃ¨s,13065,63000,2013,Dec,6,18,Accidentelle,NA
178,Olmeta-di-Tuda,2B188,70000,2013,Dec,31,14,Malveillance,NA
179,Tourves,83140,110000,2013,Apr,13,14,Involontaire,particulier
180,Thoard,4217,135600,2013,Mar,4,13,Involontaire,travaux
181,FontpÃ©drouse,66080,50000,2013,Apr,23,11,Involontaire,travaux
182,Ouzous,65352,150000,2014,Mar,20,14,Involontaire,travaux
183,VÃ©drines-Saint-Loup,15251,60000,2014,Mar,20,17,Accidentelle,NA
184,Paulhenc,15149,60000,2014,Mar,20,19,Involontaire,travaux
185,Blois,41018,50000,2014,Sep,11,19,Malveillance,NA
186,Captieux,33095,270000,2014,Aug,8,15,Naturelle,NA
187,Captieux,33095,1000000,2014,Apr,23,16,Involontaire,particulier
188,Labescau,33212,60000,2014,Mar,11,12,Involontaire,particulier
189,Biscarrosse,40046,105000,2014,Oct,2,14,Involontaire,travaux
190,RiviÃ¨re-Saas-et-Gourby,40244,280000,2014,Jun,28,15,Involontaire,particulier
191,Lantosque,6074,700300,2014,Mar,17,10,Malveillance,NA
192,Massoins,6082,172200,2014,Apr,9,13,Involontaire,particulier
193,Dourbies,30105,119728,2014,Apr,7,23,Malveillance,NA
194,La Javie,4097,52000,2014,Mar,18,14,Involontaire,travaux
195,Salses-le-ChÃ¢teau,66190,200000,2014,Feb,13,19,Involontaire,particulier
196,Causses-et-Veyran,34061,105000,2014,Mar,30,12,Involontaire,travaux
197,Minerve,34158,60000,2014,Mar,15,8,Malveillance,NA
198,CabriÃ¨res,34045,81600,2014,Apr,29,12,Involontaire,particulier
199,CongÃ©nies,30091,294471,2014,May,13,14,Malveillance,NA
200,Montouliers,34170,92000,2014,Feb,23,14,Involontaire,particulier
201,Pouzols-Minervois,11296,50714,2014,May,30,12,Involontaire,particulier
202,Barrettali,2B030,196367,2014,May,24,16,Malveillance,NA
203,Ogliastro,2B183,305959,2014,Jun,4,13,Malveillance,NA
204,Salses-le-ChÃ¢teau,66190,60000,2014,Jun,14,16,Involontaire,particulier
205,BelgodÃ¨re,2B034,184082,2014,Jun,20,16,Involontaire,travaux
206,Saint-Laurent-de-la-Cabrerisse,11351,57902,2014,Jun,29,14,Involontaire,particulier
207,Santo-Pietro-di-Tenda,2B314,683810,2014,Jul,3,15,Involontaire,travaux
208,Santo-Pietro-di-Tenda,2B314,352974,2014,Jul,5,14,Involontaire,travaux
209,Murviel-lÃ¨s-BÃ©ziers,34178,77000,2014,May,14,14,Involontaire,particulier
210,Bassan,34025,51000,2014,May,29,16,Involontaire,travaux
211,SartÃ¨ne,2A272,90000,2014,Jun,28,14,Involontaire,travaux
212,Calcatoggio,2A048,280000,2014,Jun,28,14,Malveillance,NA
213,Biguglia,2B037,140500,2014,Jul,22,13,Involontaire,particulier
214,Siran,34302,122700,2014,Aug,1,16,Malveillance,NA
215,Thueyts,7322,60000,2014,Mar,12,16,Malveillance,NA
216,Morsiglia,2B170,60000,2014,Mar,10,12,Malveillance,NA
217,Santa-Reparata-di-Balagna,2B316,95770,2014,Aug,15,8,Malveillance,NA
218,Gigean,34113,365000,2014,Jul,31,16,Involontaire,particulier
219,Aizac,7003,50000,2014,Mar,13,14,Involontaire,particulier
220,Juvignac,34123,605000,2014,May,13,11,Involontaire,particulier
221,Sari-Solenzara,2A269,330000,2014,Aug,15,16,Involontaire,particulier
222,Villeveyrac,34341,68000,2014,Aug,23,21,Malveillance,NA
223,Solaro,2B283,304678,2014,Aug,15,16,Involontaire,particulier
224,Siran,34302,195800,2014,Aug,29,12,Malveillance,NA
225,Grabels,34116,70000,2014,Aug,28,17,Malveillance,NA
226,Cessenon-sur-Orb,34074,230000,2014,Aug,27,12,Involontaire,particulier
227,Ghisonaccia,2B123,847798,2014,Aug,15,16,Malveillance,NA
228,Mouthoumet,11260,50700,2014,Sep,1,14,Malveillance,NA
229,Tressan,34313,52000,2014,Sep,6,15,Involontaire,particulier
230,Calcatoggio,2A048,61000,2014,Aug,30,13,Malveillance,NA
231,Lecci,2A139,930000,2014,Sep,1,2,Malveillance,NA
232,Castello-di-Rostino,2B079,174142,2014,Sep,13,11,Malveillance,NA
233,Millas,66108,200000,2014,Sep,17,17,Involontaire,travaux
234,Quarante,34226,130000,2014,Sep,26,13,Involontaire,particulier
235,Quenza,2A254,160000,2014,Sep,27,12,Malveillance,NA
236,Ajaccio,2A004,109000,2014,Sep,28,18,Malveillance,NA
237,Calenzana,2B049,69664,2014,Oct,5,18,Malveillance,NA
238,Sorio,2B287,98454,2014,Oct,10,12,Malveillance,NA
239,Saint-AndÃ©ol-de-Vals,7210,300000,2014,Mar,19,11,Involontaire,travaux
240,Puisserguier,34225,58000,2014,Oct,24,3,Malveillance,NA
241,Estavar,66072,100000,2014,Mar,19,15,Involontaire,travaux
242,Saorge,6132,78900,2014,Dec,29,5,Malveillance,NA
243,BelvÃ©dÃ¨re,6013,77400,2014,Mar,19,15,Malveillance,NA
244,Saint-Maurice-de-Ventalon,48172,172000,2014,Mar,18,14,Involontaire,travaux
245,CabriÃ¨res,34045,75000,2014,Mar,8,16,Involontaire,travaux
246,Oupia,34190,77800,2014,Mar,15,20,Malveillance,NA
247,Entraygues-sur-TruyÃ¨re,12094,60000,2015,Feb,10,14,Involontaire,particulier
248,Saint-Hippolyte,12226,50000,2015,Mar,11,13,Involontaire,particulier
249,Cernon,39086,50000,2015,Apr,12,13,Accidentelle,NA
250,Albi,81004,110000,2015,Jul,3,13,Naturelle,NA
251,Saint-Maurice-la-Fougereuse,79280,208000,2015,Jul,11,18,Involontaire,travaux
252,Argentine,73019,190000,2015,Apr,9,16,Involontaire,travaux
253,Lay-Saint-Christophe,54305,120000,2015,Apr,19,13,Malveillance,NA
254,Saizerais,54490,270000,2015,Jul,23,15,Involontaire,travaux
255,Massais,79168,140300,2015,Aug,19,12,Involontaire,travaux
256,Chevillon-sur-Huillard,45092,110000,2015,Aug,2,18,Malveillance,NA
257,LiffrÃ©,35152,60000,2015,Mar,23,14,Involontaire,travaux
258,Andelaroche,3004,281000,2015,Jul,16,15,Involontaire,travaux
259,Queige,73211,150000,2015,Jul,7,12,Malveillance,NA
260,Saint-Philippe,97417,164000,2015,Oct,23,12,Naturelle,NA
261,Le Bignon-Mirabeau,45032,310000,2015,Jul,16,14,Involontaire,travaux
262,Arfeuilles,3006,50000,2015,Jul,17,17,Involontaire,particulier
263,Saint-Angel,3217,91300,2015,Jul,21,15,Involontaire,travaux
264,Naujac-sur-Mer,33300,190000,2015,Jul,25,16,Malveillance,NA
265,Saint-Jean-d'Illac,33422,67000,2015,Apr,25,9,Accidentelle,NA
266,LÃ©ognan,33238,70000,2015,Apr,11,6,Accidentelle,NA
267,Lanton,33229,50000,2015,Jul,2,7,Naturelle,NA
268,Castelnau-de-MÃ©doc,33104,680000,2015,Mar,17,16,Accidentelle,NA
269,Ychoux,40332,90000,2015,Jul,28,14,Involontaire,particulier
270,Luxey,40167,220000,2015,Apr,30,16,Involontaire,travaux
271,Lencouacq,40149,58000,2015,Apr,15,12,Involontaire,particulier
272,ChÃ¢tillon-sur-Cher,41043,70000,2015,Jul,1,14,Naturelle,NA
273,Maves,41130,110000,2015,Jul,16,16,Naturelle,NA
274,Rahart,41186,50000,2015,Jul,22,14,Naturelle,NA
275,Fontaine-les-Coteaux,41087,80000,2015,Jul,10,12,Naturelle,NA
276,VÃ©ranne,42326,230000,2015,Aug,31,13,Malveillance,NA
277,Ghisonaccia,2B123,103518,2015,Jun,3,14,Involontaire,particulier
278,Gruissan,11170,105836,2015,Jun,7,15,Involontaire,particulier
279,Tallone,2B320,322164,2015,Jun,14,14,Malveillance,NA
280,Saint-Privat,34286,184500,2015,Jun,28,15,Involontaire,particulier
281,Vailhan,34319,710000,2015,Jul,2,11,Involontaire,particulier
282,Oletta,2B185,230000,2015,Jul,1,11,Malveillance,NA
283,Pancheraccia,2B201,62321,2015,Jul,2,12,Involontaire,travaux
284,Toulaud,7323,151000,2015,Jul,7,2,Malveillance,NA
285,Rieux-Minervois,11315,85400,2015,Jun,27,10,Malveillance,NA
286,Talairan,11386,54934,2015,Jul,8,4,Malveillance,NA
287,Linguizzetta,2B143,100350,2015,Jul,7,13,Malveillance,NA
288,Alzonne,11009,163000,2015,Jul,10,15,Involontaire,travaux
289,Saint-Julien-Vocance,7258,50000,2015,Jul,14,22,Malveillance,NA
290,Sorgues,84129,250000,2015,Jul,12,18,Malveillance,NA
291,Castello-di-Rostino,2B079,125400,2015,Jul,10,12,Malveillance,NA
292,Moussoulens,11259,299200,2015,Jul,13,14,Involontaire,particulier
293,Canavaggia,2B059,52292,2015,Jul,19,16,Malveillance,NA
294,Saint-May,26318,60000,2015,Jul,11,14,Involontaire,particulier
295,FontÃ¨s,34103,86200,2015,Jul,12,2,Malveillance,NA
296,Agde,34003,70000,2015,Jul,19,18,Involontaire,particulier
297,AvÃ¨ne,34019,60150,2015,Jul,20,12,Involontaire,travaux
298,NeffiÃ¨s,34181,92500,2015,Feb,23,16,Malveillance,NA
299,Corscia,2B095,113588,2015,Jul,28,1,Malveillance,NA
300,Speloncato,2B290,488130,2015,Jul,25,22,Malveillance,NA
301,Oletta,2B185,78800,2015,Jul,27,11,Malveillance,NA
302,Zilia,2B361,322405,2015,Jul,30,10,Accidentelle,NA
303,Roujan,34237,78000,2015,Jul,25,12,Accidentelle,NA
304,Saint-AndrÃ©-de-Valborgne,30231,934600,2015,Jul,30,15,Malveillance,NA
305,QuÃ©zac,48122,56500,2015,Jul,1,8,Involontaire,travaux
306,Hures-la-Parade,48074,161000,2015,Jul,31,15,Involontaire,travaux
307,Saint-Bauzille-de-Montmel,34242,590000,2015,Aug,8,14,Accidentelle,NA
308,FrÃ©jus,83061,167300,2015,Jul,27,13,Malveillance,NA
309,Felluns,66076,50000,2015,Jun,25,16,Involontaire,particulier
310,Tautavel,66205,80000,2015,Jul,14,16,Malveillance,NA
311,TrÃ©villach,66215,350000,2015,Jul,20,16,Malveillance,NA
312,Corneilla-la-RiviÃ¨re,66058,270000,2015,Jul,21,11,Accidentelle,NA
313,Perpignan,66136,50000,2015,Jul,28,17,Malveillance,NA
314,Tautavel,66205,60000,2015,Jul,29,17,Malveillance,NA
315,Villelaure,84147,70000,2015,Aug,6,19,Involontaire,particulier
316,Castifao,2B080,56360,2015,Aug,8,15,Malveillance,NA
317,Siran,34302,185000,2015,Aug,12,13,Malveillance,NA
318,Calce,66030,82600,2015,Aug,19,14,Malveillance,NA
319,Aubagne,13005,92700,2015,Aug,17,16,Malveillance,NA
320,Bilia,2A038,50400,2015,Aug,7,13,Malveillance,NA
321,TrÃ©villach,66215,200000,2015,Aug,20,13,Malveillance,NA
322,Azillanet,34020,61000,2015,Aug,19,18,Malveillance,NA
323,Venaco,2B341,480000,2015,Aug,17,14,Involontaire,particulier
324,ArgelÃ¨s-sur-Mer,66008,141500,2015,Jun,26,18,Accidentelle,NA
325,Laure-Minervois,11198,58800,2015,Aug,18,19,Accidentelle,NA
326,Azille,11022,250700,2015,Aug,26,15,Malveillance,NA
327,Opoul-PÃ©rillos,66127,80000,2015,Sep,1,23,Involontaire,particulier
328,Volpajola,2B355,194784,2015,Sep,5,13,Malveillance,NA
329,Arquettes-en-Val,11016,187100,2015,Sep,11,12,Malveillance,NA
330,Baixas,66014,80000,2015,Mar,13,12,Involontaire,travaux
331,Alzon,30009,90800,2015,Mar,7,7,Involontaire,travaux
332,Alzon,30009,61500,2015,Mar,9,19,Involontaire,travaux
333,Corte,2B096,115000,2015,Sep,26,16,Malveillance,NA
334,Arzens,11018,52900,2015,Sep,25,16,Malveillance,NA
335,La Brigue,6162,217500,2015,Mar,12,9,Involontaire,travaux
336,Peyriac-de-Mer,11285,55873,2015,Oct,16,14,Accidentelle,NA
337,Paziols,11276,50802,2015,Oct,16,15,Involontaire,travaux
338,Villespassans,34339,121500,2015,Jan,11,14,Malveillance,NA
339,Labastide-sur-BÃ©sorgues,7112,380000,2015,Nov,20,13,Involontaire,particulier
340,Bastelica,2A031,339000,2015,Aug,30,12,Malveillance,NA
341,Le Pont-de-Montvert,48116,648000,2015,Mar,11,12,Involontaire,travaux
342,BÃ©douÃ¨s,48022,138000,2015,Mar,9,13,Involontaire,travaux
343,Saint-Pierre,4194,204800,2015,Apr,1,12,Involontaire,particulier
344,Lantosque,6074,178700,2015,Apr,2,12,Malveillance,NA
345,RoquebilliÃ¨re,6103,387400,2015,Apr,3,17,Malveillance,NA
346,Saint-Pierreville,7286,300000,2015,Apr,10,11,Involontaire,travaux
347,Valle-di-Rostino,2B337,53361,2015,Apr,13,13,Involontaire,travaux
348,Lantosque,6074,73100,2015,Jan,4,12,Malveillance,NA
349,Lantosque,6074,82100,2015,Jan,12,18,Malveillance,NA
350,Saorge,6132,89200,2015,Apr,11,14,Malveillance,NA
351,Breil-sur-Roya,6023,59500,2015,Apr,11,15,Malveillance,NA
352,RoquebilliÃ¨re,6103,102300,2015,Apr,15,13,Malveillance,NA
353,Die,26113,73000,2015,Mar,13,13,Involontaire,particulier
354,Murasson,12163,200000,2016,Feb,21,18,Malveillance,NA
355,Couvertoirade (La),12082,70000,2016,Jul,19,9,Involontaire,travaux
356,Conques-en-Rouergue,12076,50000,2016,Aug,15,16,Accidentelle,NA
357,Marcilhac-sur-CÃ©lÃ©,46183,220000,2016,Aug,16,21,Naturelle,NA
358,Saint-Laurent,18219,93300,2016,Aug,11,16,Accidentelle,NA
359,CaucaliÃ¨res,81066,800000,2016,Sep,5,15,Accidentelle,NA
360,ColmÃ©ry,58081,80000,2016,Aug,30,12,Malveillance,NA
361,Bedenac,17038,104100,2016,Aug,16,18,Malveillance,NA
362,Bussac-ForÃªt,17074,52600,2016,Sep,12,15,Malveillance,NA
363,ClÃ©rac,17110,220000,2016,Sep,12,16,Malveillance,NA
364,Saint-Caprais-de-Lerm,47234,50050,2016,Sep,13,19,Involontaire,travaux
365,Martignas-sur-Jalle,33273,80000,2016,Sep,8,15,Accidentelle,NA
366,Ogliastro,2B183,60000,2016,Mar,31,12,Malveillance,NA
367,Sisco,2B281,200000,2016,Apr,2,18,Malveillance,NA
368,Farinole,2B109,50000,2016,Apr,1,21,Malveillance,NA
369,TouÃ«t-de-l'EscarÃ¨ne,6142,107161,2016,Mar,26,14,Involontaire,particulier
370,Cans et CÃ©vennes,48166,104100,2016,Mar,26,14,Involontaire,particulier
371,Vialas,48194,151100,2016,Mar,26,14,Involontaire,travaux
