id,code_INSEE,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,altitude_med,altitude_zone
208,2B314,352974.0,2014,Jul,5,14,Involontaire,travaux,480.0,Basse
209,34178,77000.0,2014,May,14,14,Involontaire,particulier,140.0,Basse
210,34025,51000.0,2014,May,29,16,Involontaire,travaux,50.0,Basse
211,2A272,90000.0,2014,Jun,28,14,Involontaire,travaux,62.0,Basse
212,2A048,280000.0,2014,Jun,28,14,Malveillance,NA,317.0,Basse
213,2B037,140500.0,2014,Jul,22,13,Involontaire,particulier,37.0,Basse
214,34302,122700.0,2014,Aug,1,16,Malveillance,NA,131.0,Basse
215,7322,60000.0,2014,Mar,12,16,Malveillance,NA,420.0,Basse
216,2B170,60000.0,2014,Mar,10,12,Malveillance,NA,190.0,Basse
217,2B316,95770.0,2014,Aug,15,8,Malveillance,NA,296.0,Basse
218,34113,365000.0,2014,Jul,31,16,Involontaire,particulier,34.0,Basse
219,7003,50000.0,2014,Mar,13,14,Involontaire,particulier,428.0,Basse
220,34123,605000.0,2014,May,13,11,Involontaire,particulier,100.0,Basse
221,2A269,330000.0,2014,Aug,15,16,Involontaire,particulier,397.0,Basse
222,34341,68000.0,2014,Aug,23,21,Malveillance,NA,34.0,Basse
223,2B283,304678.0,2014,Aug,15,16,Involontaire,particulier,397.0,Basse
224,34302,195800.0,2014,Aug,29,12,Malveillance,NA,131.0,Basse
225,34116,70000.0,2014,Aug,28,17,Malveillance,NA,100.0,Basse
226,34074,230000.0,2014,Aug,27,12,Involontaire,particulier,97.0,Basse
227,2B123,847798.0,2014,Aug,15,16,Malveillance,NA,61.0,Basse
228,11260,50700.0,2014,Sep,1,14,Malveillance,NA,538.0,Basse
229,34313,52000.0,2014,Sep,6,15,Involontaire,particulier,46.0,Basse
230,2A048,61000.0,2014,Aug,30,13,Malveillance,NA,317.0,Basse
231,2A139,930000.0,2014,Sep,1,2,Malveillance,NA,88.0,Basse
232,2B079,174142.0,2014,Sep,13,11,Malveillance,NA,499.0,Basse
233,66108,200000.0,2014,Sep,17,17,Involontaire,travaux,103.0,Basse
234,34226,130000.0,2014,Sep,26,13,Involontaire,particulier,130.0,Basse
235,2A254,160000.0,2014,Sep,27,12,Malveillance,NA,1212.0,Haute
236,2A004,109000.0,2014,Sep,28,18,Malveillance,NA,86.0,Basse
237,2B049,69664.0,2014,Oct,5,18,Malveillance,NA,547.0,Basse
238,2B287,98454.0,2014,Oct,10,12,Malveillance,NA,480.0,Basse
239,7210,300000.0,2014,Mar,19,11,Involontaire,travaux,600.0,Basse
240,34225,58000.0,2014,Oct,24,3,Malveillance,NA,83.0,Basse
241,66072,100000.0,2014,Mar,19,15,Involontaire,travaux,1600.0,Haute
242,6132,78900.0,2014,Dec,29,5,Malveillance,NA,425.0,Basse
243,6013,77400.0,2014,Mar,19,15,Malveillance,NA,625.0,Basse
244,48172,172000.0,2014,Mar,18,14,Involontaire,travaux,1000.0,Haute
245,34045,75000.0,2014,Mar,8,16,Involontaire,travaux,200.0,Basse
246,34190,77800.0,2014,Mar,15,20,Malveillance,NA,86.0,Basse
247,12094,60000.0,2015,Feb,10,14,Involontaire,particulier,239.0,Basse
248,12226,50000.0,2015,Mar,11,13,Involontaire,particulier,239.0,Basse
249,39086,50000.0,2015,Apr,12,13,Accidentelle,NA,320.0,Basse
250,81004,110000.0,2015,Jul,3,13,Naturelle,NA,321.0,Basse
251,79280,208000.0,2015,Jul,11,18,Involontaire,travaux,128.0,Basse
252,73019,190000.0,2015,Apr,9,16,Involontaire,travaux,419.0,Basse
253,54305,120000.0,2015,Apr,19,13,Malveillance,NA,213.0,Basse
254,54490,270000.0,2015,Jul,23,15,Involontaire,travaux,213.0,Basse
255,79168,140300.0,2015,Aug,19,12,Involontaire,travaux,128.0,Basse
256,45092,110000.0,2015,Aug,2,18,Malveillance,NA,99.0,Basse
257,35152,60000.0,2015,Mar,23,14,Involontaire,travaux,53.0,Basse
258,3004,281000.0,2015,Jul,16,15,Involontaire,travaux,450.0,Basse
259,73211,150000.0,2015,Jul,7,12,Malveillance,NA,500.0,Basse
260,97417,164000.0,2015,Oct,23,12,Naturelle,NA,91.0,Basse
261,45032,310000.0,2015,Jul,16,14,Involontaire,travaux,107.0,Basse
262,3006,50000.0,2015,Jul,17,17,Involontaire,particulier,823.0,Basse
263,3217,91300.0,2015,Jul,21,15,Involontaire,travaux,275.0,Basse
264,33300,190000.0,2015,Jul,25,16,Malveillance,NA,14.0,Basse
265,33422,67000.0,2015,Apr,25,9,Accidentelle,NA,60.0,Basse
266,33238,70000.0,2015,Apr,11,6,Accidentelle,NA,65.0,Basse
267,33229,50000.0,2015,Jul,2,7,Naturelle,NA,7.0,Basse
268,33104,680000.0,2015,Mar,17,16,Accidentelle,NA,20.0,Basse
269,40332,90000.0,2015,Jul,28,14,Involontaire,particulier,66.0,Basse
270,40167,220000.0,2015,Apr,30,16,Involontaire,travaux,89.0,Basse
271,40149,58000.0,2015,Apr,15,12,Involontaire,particulier,127.0,Basse
272,41043,70000.0,2015,Jul,1,14,Naturelle,NA,92.0,Basse
273,41130,110000.0,2015,Jul,16,16,Naturelle,NA,126.0,Basse
274,41186,50000.0,2015,Jul,22,14,Naturelle,NA,115.0,Basse
275,41087,80000.0,2015,Jul,10,12,Naturelle,NA,73.0,Basse
276,42326,230000.0,2015,Aug,31,13,Malveillance,NA,1370.0,Haute
277,2B123,103518.0,2015,Jun,3,14,Involontaire,particulier,61.0,Basse
278,11170,105836.0,2015,Jun,7,15,Involontaire,particulier,0.0,Basse
279,2B320,322164.0,2015,Jun,14,14,Malveillance,NA,78.0,Basse
280,34286,184500.0,2015,Jun,28,15,Involontaire,particulier,620.0,Basse
281,34319,710000.0,2015,Jul,2,11,Involontaire,particulier,122.0,Basse
282,2B185,230000.0,2015,Jul,1,11,Malveillance,NA,54.0,Basse
283,2B201,62321.0,2015,Jul,2,12,Involontaire,travaux,685.0,Basse
284,7323,151000.0,2015,Jul,7,2,Malveillance,NA,112.0,Basse
285,11315,85400.0,2015,Jun,27,10,Malveillance,NA,125.0,Basse
286,11386,54934.0,2015,Jul,8,4,Malveillance,NA,320.0,Basse
287,2B143,100350.0,2015,Jul,7,13,Malveillance,NA,78.0,Basse
288,11009,163000.0,2015,Jul,10,15,Involontaire,travaux,134.0,Basse
