id,code_INSEE,surface_parcourue_m2,Tens_vap_med
443,34055,100000.0,9.6
444,34055,55000.0,9.6
445,66048,150000.0,12.3
446,66016,77000.0,12.3
447,2B140,98500.0,11.4
448,7018,240000.0,8.0
449,66192,80000.0,6.9
450,34235,396200.0,9.6
451,5164,60000.0,7.5
452,66190,535000.0,12.1
453,6103,323050.0,7.9
454,4193,81000.0,4.2
455,30154,65079.0,9.3
456,30169,85420.0,11.0
457,6049,72200.0,8.5
458,43171,100000.0,8.3
459,73235,74700.0,9.1
460,12168,100000.0,9.55
461,43155,50000.0,8.3
462,81163,50000.0,10.05
463,16061,150000.0,11.1
464,16255,70500.0,10.9
465,45015,150000.0,10.8
466,97410,50000.0,16.7
467,31573,100000.0,13.0
468,31085,60000.0,9.9
469,31222,120000.0,9.9
470,15156,60000.0,9.4
471,15149,60000.0,8.6
472,15113,100000.0,7.6
473,97415,96000.0,14.7
474,24465,55000.0,12.0
475,40167,60000.0,12.1
476,65045,300000.0,10.1
477,66069,100000.0,11.4
478,66016,200000.0,12.3
479,2A019,53000.0,11.8
480,6146,151250.0,10.0
481,2A041,84300.0,14.1
482,6077,79300.0,7.8
483,7153,213000.0,9.5
484,5038,233900.0,5.7
485,26354,55000.0,9.05
486,7141,124800.0,9.0
487,48165,60400.0,8.2
488,48020,199000.0,8.5
489,30190,239135.0,9.3
490,13039,53000.0,11.1
491,34237,185147.0,11.0
492,6074,233030.0,7.8
493,6157,61220.0,13.2
494,34103,67435.0,11.0
495,34183,80000.0,11.1
496,2B185,75000.0,12.3
497,13039,184270.0,11.1
498,34135,80000.0,11.8
499,2B123,280000.0,12.6
500,13098,143400.0,12.0
501,83101,156400.0,12.7
502,4020,57500.0,9.3
503,5101,100300.0,3.3
504,6157,342850.0,13.2
505,34214,93500.0,11.0
506,5108,144800.0,7.5
507,66053,50000.0,12.3
508,2B314,260000.0,8.9
509,34031,62000.0,11.8
510,2B079,75000.0,11.4
511,2B290,62000.0,12.6
512,2B355,200000.0,12.8
513,34013,71800.0,11.4
514,4160,79300.0,9.4
515,48100,50000.0,8.5
516,6050,80370.0,8.5
517,2A103,130000.0,12.9
518,2A198,50000.0,10.25
519,2A323,210000.0,11.8
520,6156,99010.0,7.9
521,2A215,51400.0,13.1
522,2B009,613700.0,13.3
523,2B143,382800.0,13.3
524,13072,964000.0,10.7
525,6034,906980.0,11.2
526,6130,154930.0,9.2
527,30189,103558.0,10.7
528,30351,174628.0,11.1
529,4020,577600.0,9.3
530,4218,84100.0,8.1
531,34166,119550.0,11.8
532,66138,70000.0,11.4
533,66024,60000.0,11.8
534,13047,58200.0,11.1
535,34116,68876.0,10.9
536,13001,138100.0,10.85
537,13047,725200.0,11.1
538,26022,120000.0,8.5
539,2A249,160000.0,12.4
540,2A017,610000.0,12.9
541,2A001,57635.0,12.9
542,2A004,50000.0,12.9
543,34181,57370.0,11.0
544,66130,50000.0,7.15
545,66003,50000.0,10.9
546,83119,70000.0,13.2
547,13077,336300.0,12.0
548,2B123,150000.0,12.6
549,30081,194649.0,11.1
550,6101,89033.0,8.2
551,30258,100000.0,10.85
552,2B277,50000.0,12.6
553,7251,96000.0,9.6
554,34076,74920.0,11.4
555,4024,216100.0,9.3
556,2B039,108333.0,11.4
557,4171,135600.0,9.1
558,84084,660000.0,9.8
559,84050,180300.0,10.0
560,34341,52321.0,11.9
561,4070,115700.0,9.3
562,30105,100000.0,8.4
563,83061,347000.0,10.35
564,2B292,210500.0,10.9
565,2B292,255700.0,10.9
566,2B143,400000.0,13.3
567,13073,108900.0,10.4
568,34096,70466.0,10.5
569,7086,80000.0,10.5
570,26116,71000.0,11.2
571,2A345,77000.0,11.8
572,2A139,110400.0,12.2
573,34181,437143.0,11.0
574,13055,55000.0,11.7
575,6050,54150.0,8.5
576,34145,193045.0,12.3
577,34235,447964.0,9.6
578,2B079,99100.0,11.4
579,6077,116600.0,7.8
580,2B301,80000.0,8.9
581,83142,300000.0,9.1
582,34211,53170.0,10.5
583,34281,846900.0,10.95
584,34170,523700.0,11.0
585,6066,125140.0,9.0
586,34213,100530.0,11.9
587,2B116,97000.0,10.9
588,4008,208400.0,7.7
589,4148,120000.0,7.7
590,48008,135000.0,7.3
591,4120,767100.0,4.3
592,30085,110000.0,11.1
593,7139,133000.0,9.6
594,13038,223600.0,11.4
595,4023,398600.0,8.7
596,4139,152300.0,10.9
597,26123,68000.0,8.5
598,66014,180000.0,11.4
599,48130,168600.0,8.5
600,48096,147400.0,8.4
601,66066,60000.0,6.85
602,66011,350000.0,11.8
603,66108,50000.0,10.95
604,12076,120000.0,9.65
605,43082,76568.0,8.3
606,46176,70000.0,10.4
607,23062,300000.0,10.75
608,12025,50000.0,10.6
609,12228,80000.0,10.4
610,40243,78000.0,12.0
611,47215,80000.0,11.4
612,7012,50000.0,8.5
613,83059,110000.0,12.1
614,34213,113330.0,11.9
615,34032,90429.0,11.8
616,66190,100000.0,12.1
617,2B055,100000.0,12.3
618,2B123,50000.0,12.6
619,30042,100023.0,10.4
620,34165,153404.0,11.9
621,34232,50420.0,11.1
622,34036,58132.0,10.7
623,2B123,100700.0,12.6
624,2B009,90000.0,13.3
625,34281,75019.0,10.95
626,2A284,50000.0,11.4
627,13071,123300.0,11.4
628,34121,257367.0,9.9
629,34226,119651.0,11.0
630,48115,134700.0,8.5
631,2B318,880000.0,12.8
632,34165,85968.0,11.9
633,34165,359700.0,11.9
634,34332,507900.0,11.8
635,66136,60000.0,11.4
636,66190,55000.0,12.1
637,66228,59700.0,11.4
638,2B201,70000.0,13.3
639,48162,80000.0,8.8
640,66065,60000.0,12.1
641,66190,150000.0,12.1
642,34286,79210.0,10.7
643,34200,121077.0,10.5
644,6062,90000.0,9.1
645,6074,173400.0,7.8
646,38140,140000.0,6.6
647,39557,50000.0,9.5
648,39478,200000.0,8.6
649,39289,75000.0,9.5
650,43012,117175.0,8.9
651,21037,95448.0,9.7
652,65428,1000000.0,10.1
653,65032,100000.0,10.1
654,55574,300000.0,9.5
655,39377,110000.0,10.3
656,21694,74900.0,10.2
657,21309,160000.0,10.7
658,52205,600000.0,10.4
659,49154,90000.0,11.0
660,49180,70000.0,11.0
661,58087,86647.0,10.4
662,31334,300000.0,11.5
663,31451,50000.0,11.4
664,81016,120000.0,12.0
665,23067,100000.0,9.3
666,23067,50000.0,9.3
667,58226,97104.0,9.6
668,12090,90000.0,9.9
669,79153,200000.0,12.6
670,50403,400000.0,11.3
671,3055,740000.0,10.1
672,64255,100000.0,11.9
673,64276,80000.0,12.9
674,64124,950000.0,11.6
675,64504,200000.0,12.6
676,64477,190000.0,11.6
677,64342,100000.0,8.35
678,64218,50000.0,11.6
679,64218,50005.0,11.6
680,64298,60000.0,8.35
681,24222,60000.0,12.0
682,24218,50000.0,10.8
683,33498,320000.0,11.95
684,33498,50000.0,11.95
685,33251,150000.0,11.8
686,47186,50000.0,12.1
687,38294,79000.0,10.2
688,1037,100000.0,10.75
689,41275,190000.0,11.3
690,41041,600000.0,11.7
691,41250,82000.0,11.9
692,41248,80300.0,11.7
693,41088,201000.0,11.3
694,4074,99000.0,9.3
695,48119,72300.0,8.5
696,6013,50000.0,7.9
697,7077,50000.0,9.9
698,34007,256785.0,11.0
699,34235,78396.0,9.6
700,6148,734000.0,11.2
701,83069,116000.0,13.15
702,2A272,73800.0,12.4
703,2B002,165000.0,12.6
704,34093,124100.0,10.5
705,2B050,150000.0,11.9
706,13117,80000.0,11.4
707,13117,50000.0,11.4
708,83003,380000.0,9.1
709,83082,50000.0,9.1
710,4045,79700.0,10.0
711,34341,55253.0,11.9
712,83137,100000.0,12.6
713,34095,622900.0,12.0
714,4004,527700.0,9.4
715,34143,121109.0,11.9
716,34213,171261.0,11.9
717,48065,139500.0,8.5
718,48194,114270.0,8.5
719,83153,175200.0,12.5
720,34015,122869.0,11.0
721,34268,149615.0,10.7
722,66156,670000.0,10.25
723,34145,52989.0,12.3
724,4113,287800.0,9.3
725,84035,130300.0,11.05
726,2B079,120000.0,11.4
727,34056,85000.0,11.4
728,5123,70400.0,8.1
729,34166,206119.0,11.8
730,30093,74723.0,10.1
731,83107,50000.0,12.5
732,13103,82100.0,10.8
733,13106,104400.0,11.5
734,2B185,50000.0,12.3
735,2B222,100000.0,11.4
736,34329,55176.0,11.8
737,34017,252400.0,11.4
738,2B143,219200.0,13.3
739,34205,112742.0,9.9
740,26300,57300.0,8.5
741,34235,189162.0,9.6
742,34281,326900.0,10.95
743,2B105,71400.0,10.9
744,34308,52731.0,10.5
745,34168,111935.0,11.0
746,2A048,83000.0,11.8
747,30190,87701.0,9.3
748,34045,57257.0,11.0
749,2B355,566000.0,12.8
750,2A326,710000.0,9.4
751,2A272,208000.0,12.4
752,66134,50000.0,11.8
753,66212,150000.0,12.1
754,66182,50000.0,12.1
755,34210,56401.0,11.4
756,66205,80000.0,10.5
757,84089,212100.0,10.7
758,4144,150600.0,12.75
759,34281,388500.0,10.95
760,66145,50000.0,11.8
761,66008,300000.0,12.3
762,66227,365000.0,11.4
763,66168,100000.0,11.0
764,66108,880000.0,10.95
765,66224,180000.0,12.1
766,7098,70000.0,9.6
767,2B281,996300.0,12.95
768,66088,50000.0,11.2
769,66016,330000.0,12.3
770,6070,80000.0,7.9
771,34165,154537.0,11.9
772,4204,197300.0,7.75
773,6074,370000.0,7.8
774,6153,342100.0,4.6
775,7121,90000.0,8.0
776,48198,100000.0,8.5
777,48015,85000.0,9.7
778,48061,57700.0,8.8
779,48166,143500.0,8.8
780,48162,220000.0,8.8
781,43246,100000.0,10.4
782,82131,80000.0,12.6
783,2305,100000.0,10.5
784,82187,700000.0,11.1
785,89021,370000.0,10.4
786,58107,216242.0,9.1
787,46072,120000.0,10.6
788,43156,62000.0,7.3
789,58270,75250.0,10.5
790,89044,50000.0,10.4
791,89419,72000.0,10.6
792,3217,250000.0,10.5
793,3155,55000.0,10.5
794,45315,50500.0,10.5
795,45098,100000.0,10.2
796,77186,50000.0,10.35
797,87064,140000.0,9.8
798,97408,108106.0,18.9
799,31581,200000.0,12.5
800,79246,80000.0,11.4
801,79154,70000.0,12.6
802,15038,50000.0,7.3
803,15250,180000.0,8.95
804,24485,80000.0,11.0
805,24294,50000.0,12.0
806,64067,71000.0,11.8
807,64223,700000.0,8.5
808,64559,50000.0,12.05
809,40296,60000.0,11.7
810,40319,120000.0,11.9
811,40006,50000.0,11.9
812,40060,84391.0,12.1
813,33029,125500.0,11.8
814,33202,214300.0,11.8
815,33202,362600.0,11.8
816,33029,212400.0,11.8
817,33233,60000.0,11.4
818,33202,50000.0,11.8
819,48098,93400.0,8.5
820,2B315,110000.0,10.9
821,2B002,898200.0,12.6
822,30089,86050.0,11.4
823,34143,135801.0,11.9
824,34197,517100.0,11.0
825,2B079,322600.0,11.4
826,13077,62000.0,12.0
827,34226,295700.0,11.0
828,26200,104200.0,8.5
829,2B242,196800.0,12.8
830,6130,392700.0,9.2
831,6070,195400.0,7.9
832,7315,200000.0,9.5
833,2B112,194400.0,12.6
834,34016,67959.0,10.95
835,2B224,741300.0,12.55
836,4094,74800.0,9.6
837,4199,351400.0,10.9
838,2B145,50000.0,12.8
839,2B192,200000.0,12.8
840,66119,150000.0,9.4
841,34032,236085.0,11.8
