id,code_INSEE,nature_inc_prim,tmax_med
911,34206,Malveillance,19.5
912,34135,Malveillance,19.5
913,13007,Involontaire,21.1
914,66069,Malveillance,19.45
915,66174,Involontaire,19.5
916,2A004,Involontaire,21.5
917,66148,Involontaire,17.95
918,83124,Accidentelle,19.75
919,2B150,Malveillance,20.3
920,30193,Involontaire,21.2
921,2B185,Malveillance,20.4
922,6157,Involontaire,20.25
923,2A006,Malveillance,21.5
924,2B190,Malveillance,19.0
925,66121,Involontaire,20.1
926,66012,Involontaire,19.45
927,66048,Involontaire,17.95
928,34328,Malveillance,19.7
929,2B143,Malveillance,19.9
930,34180,Malveillance,20.6
931,34007,Involontaire,19.9
932,34017,Malveillance,20.1
933,34183,Involontaire,19.5
934,2A017,Malveillance,21.5
935,2A209,Malveillance,19.0
936,66190,Malveillance,25.2
937,66205,Involontaire,17.65
938,6073,Naturelle,8.15
939,48075,Malveillance,6.5
940,13056,Involontaire,18.8
941,2B235,Malveillance,19.0
942,2B333,Malveillance,20.4
943,2B143,Malveillance,19.9
944,34268,Malveillance,18.9
945,34045,Malveillance,20.85
946,34213,Malveillance,17.9
947,34036,Malveillance,18.9
948,66002,Malveillance,19.3
949,34332,Involontaire,19.9
950,2A006,Involontaire,21.5
951,34093,Involontaire,18.4
952,34135,Malveillance,19.5
953,34186,Malveillance,19.6
954,34056,Malveillance,20.1
955,34165,Malveillance,19.3
956,34178,Malveillance,19.6
957,2A200,Malveillance,16.5
958,2B289,Malveillance,20.3
959,2B079,Malveillance,18.3
960,2B343,Malveillance,19.5
961,34144,Involontaire,18.4
962,15081,Involontaire,22.0
963,15045,Involontaire,12.6
964,21582,Involontaire,16.3
965,46040,Accidentelle,18.8
966,81243,Involontaire,18.6
967,81325,Involontaire,17.6
968,81073,Accidentelle,18.8
969,15106,Involontaire,12.9
970,41275,Involontaire,22.4
971,58102,Involontaire,17.25
972,58304,Involontaire,16.9
973,46079,Involontaire,17.35
974,54244,Involontaire,16.2
975,81027,Malveillance,17.15
976,43157,Naturelle,16.5
977,54156,Accidentelle,15.7
978,42021,Involontaire,17.7
979,35211,Involontaire,16.9
980,58102,Involontaire,17.25
981,60182,Involontaire,16.2
982,97606,Involontaire,31.0
983,97603,Involontaire,30.2
984,27209,Accidentelle,20.9
985,97423,Malveillance,18.9
986,56233,Involontaire,16.6
987,56054,Malveillance,18.65
988,56132,Malveillance,16.1
989,56126,Involontaire,16.4
990,61413,Malveillance,15.65
991,61117,Malveillance,15.1
992,61475,Malveillance,15.2
993,61435,Malveillance,14.9
994,61230,Malveillance,19.35
995,61346,Malveillance,16.25
996,61397,Malveillance,15.1
997,61490,Malveillance,15.8
998,61040,Malveillance,15.8
999,61329,Malveillance,16.1
1000,61145,Malveillance,20.9
1001,61407,Malveillance,15.2
1002,61026,Malveillance,16.2
1003,61263,Malveillance,16.2
1004,61206,Malveillance,15.2
1005,61020,Malveillance,21.9
1006,61092,Malveillance,14.9
1007,61460,Malveillance,14.95
1008,61447,Malveillance,15.15
1009,61037,Malveillance,16.1
1010,61061,Malveillance,16.2
1011,61230,Malveillance,19.35
1012,61418,Malveillance,15.2
1013,61429,Malveillance,15.2
1014,61440,Malveillance,14.9
1015,61067,Malveillance,14.6
1016,61440,Malveillance,14.9
1017,61461,Malveillance,15.1
1018,61240,Malveillance,17.0
1019,61024,Malveillance,15.7
1020,61067,Malveillance,14.6
1021,61486,Malveillance,14.3
1022,61158,Malveillance,15.2
1023,61145,Malveillance,20.9
1024,61050,Malveillance,19.35
1025,61248,Malveillance,15.95
1026,61309,Malveillance,15.55
1027,61421,Malveillance,15.5
1028,61375,Malveillance,14.7
1029,61081,Malveillance,15.4
1030,61457,Malveillance,14.9
1031,61445,Malveillance,15.15
1032,61050,Malveillance,19.35
1033,61193,Malveillance,14.9
1034,61234,Malveillance,15.1
1035,61002,Malveillance,15.65
1036,61244,Malveillance,14.6
1037,12225,Accidentelle,14.6
1038,12291,Involontaire,14.6
1039,38545,Malveillance,19.0
1040,12163,Accidentelle,16.6
1041,12003,Malveillance,17.5
1042,12037,Accidentelle,14.3
1043,38527,Naturelle,4.7
1044,65295,Malveillance,23.5
1045,79111,Involontaire,17.8
1046,79195,Involontaire,19.45
1047,79016,Involontaire,17.3
1048,47039,Naturelle,19.4
1049,24354,Malveillance,18.5
1050,24273,Accidentelle,18.2
1051,24165,Malveillance,17.8
1052,24165,Malveillance,17.8
1053,40053,Involontaire,19.3
1054,40287,Naturelle,18.0
1055,40307,Accidentelle,18.45
1056,40142,Accidentelle,19.75
1057,40167,Naturelle,18.45
1058,40142,Involontaire,19.75
1059,40087,Naturelle,19.2
1060,40123,Accidentelle,19.1
1061,40217,Naturelle,16.9
1062,64233,Involontaire,24.9
1063,64217,Malveillance,19.2
1064,33021,Accidentelle,18.85
1065,33348,Malveillance,18.1
1066,33544,Malveillance,17.6
1067,33322,Malveillance,19.1
1068,41193,Involontaire,16.9
1069,41193,Involontaire,16.9
1070,86086,Involontaire,17.1
1071,2B210,Malveillance,20.75
1072,7202,Involontaire,18.7
1073,2B135,Malveillance,18.9
1074,2B007,Involontaire,8.1
1075,2B207,Malveillance,20.75
1076,2B095,Malveillance,17.55
1077,34156,Involontaire,19.6
1078,34279,Malveillance,18.8
1079,2B235,Malveillance,19.0
1080,2B290,Malveillance,19.0
1081,2B145,Malveillance,20.75
1082,5004,Malveillance,14.6
1083,5090,Malveillance,14.5
1084,7093,Involontaire,18.2
1085,2B290,Malveillance,19.0
1086,2B223,Malveillance,18.1
1087,6153,Involontaire,4.1
1088,4019,Involontaire,15.4
1089,4170,Malveillance,20.0
1090,13005,Involontaire,20.7
1091,30325,Accidentelle,19.4
1092,83044,Involontaire,16.1
1093,4018,Involontaire,16.75
1094,2A117,Involontaire,20.4
1095,2A031,Involontaire,16.5
1096,34214,Involontaire,19.7
1097,48119,Involontaire,14.1
1098,48116,Involontaire,13.55
1099,66127,Involontaire,19.8
1100,2B046,Malveillance,18.95
1101,2B184,Malveillance,18.95
1102,2B058,Malveillance,18.95
1103,2B301,Malveillance,18.4
1104,13117,Malveillance,19.4
1105,13044,Involontaire,19.3
1106,66014,Malveillance,19.45
1107,30041,Involontaire,19.1
1108,30145,Accidentelle,18.6
1109,13067,Involontaire,18.9
1110,48145,Involontaire,8.4
1111,48049,Involontaire,20.2
1112,48040,Involontaire,12.4
1113,34118,Accidentelle,19.8
1114,34268,Malveillance,18.9
1115,66093,Malveillance,19.3
1116,26146,Malveillance,19.0
1117,26295,Malveillance,17.7
1118,2B314,Involontaire,18.4
1119,2B354,Malveillance,16.7
1120,2B123,Malveillance,19.7
1121,2B029,Malveillance,17.0
1122,2B143,Involontaire,19.9
1123,2B123,Involontaire,19.7
1124,2B009,Involontaire,19.9
1125,2B341,Malveillance,16.3
1126,2B352,Malveillance,19.0
1127,83124,Involontaire,19.75
1128,30319,Involontaire,19.1
1129,66164,Malveillance,19.45
1130,66041,Malveillance,19.45
1131,66108,Malveillance,19.5
1132,30169,Accidentelle,19.3
1133,34295,Malveillance,19.9
1134,34285,Malveillance,20.1
1135,7040,Accidentelle,14.5
1136,48146,Involontaire,18.5
1137,48022,Involontaire,20.2
1138,4179,Naturelle,17.5
1139,2B079,Malveillance,18.3
1140,2B341,Malveillance,16.3
1141,2B007,Malveillance,8.1
1142,2B314,Malveillance,18.4
1143,34329,Malveillance,19.5
1144,34221,Malveillance,19.7
1145,34230,Naturelle,15.7
1146,34162,Malveillance,20.1
1147,6077,Accidentelle,12.5
1148,48148,Accidentelle,18.85
1149,66193,Involontaire,18.15
1150,7330,Malveillance,19.2
1151,7134,Malveillance,18.2
1152,7077,Malveillance,15.2
1153,83076,Involontaire,19.5
1154,66214,Accidentelle,19.2
1155,34318,Involontaire,20.7
1156,4086,Involontaire,15.4
1157,4209,Involontaire,19.05
1158,48028,Naturelle,14.35
1159,34087,Involontaire,19.3
1160,34209,Involontaire,19.9
1161,48015,Accidentelle,15.9
1162,6002,Naturelle,12.85
1163,2A099,Naturelle,16.5
1164,7085,Accidentelle,14.5
1165,7129,Malveillance,14.5
1166,30295,Malveillance,19.1
1167,34235,Malveillance,17.4
1168,34019,Accidentelle,18.4
1169,66141,Malveillance,19.45
1170,13112,Involontaire,20.5
1171,13056,Involontaire,18.8
1172,13098,Malveillance,19.4
1173,13106,Accidentelle,19.2
1174,13019,Accidentelle,19.4
1175,13097,Malveillance,19.95
1176,4039,Involontaire,19.3
1177,7161,Malveillance,16.4
1178,7028,Naturelle,19.8
1179,48050,Accidentelle,14.35
1180,11095,Involontaire,19.4
1181,6163,Involontaire,19.1
1182,6104,Involontaire,13.4
1183,2B185,Malveillance,20.4
1184,66046,Malveillance,19.4
1185,66148,Accidentelle,17.95
1186,2B292,Malveillance,20.0
1187,2B292,Malveillance,20.0
1188,2B055,Malveillance,18.3
1189,26367,Malveillance,20.0
1190,11132,Involontaire,19.6
1191,7315,Involontaire,16.0
1192,84091,Involontaire,20.1
1193,30337,Accidentelle,18.6
1194,2A031,Involontaire,16.5
1195,4090,Involontaire,16.8
1196,4061,Involontaire,13.7
1197,2A024,Malveillance,17.3
1198,6153,Involontaire,4.1
1199,7226,Involontaire,11.5
1200,7200,Involontaire,10.8
1201,50041,Malveillance,13.6
1202,50041,Malveillance,13.6
