id,code_INSEE,nature_inc_prim,tmax_med
677,64342,Involontaire,19.4
678,64218,Involontaire,19.2
679,64218,Involontaire,19.2
680,64298,Malveillance,16.55
681,24222,Accidentelle,18.2
682,24218,Accidentelle,16.1
683,33498,Naturelle,20.0
684,33498,Naturelle,20.0
685,33251,Involontaire,19.0
686,47186,Malveillance,19.8
687,38294,Involontaire,16.8
688,1037,Involontaire,17.7
689,41275,Involontaire,22.4
690,41041,Involontaire,16.9
691,41250,Involontaire,16.1
692,41248,Involontaire,15.8
693,41088,Involontaire,16.9
694,4074,Involontaire,18.5
695,48119,Involontaire,14.1
696,6013,Malveillance,16.3
697,7077,Involontaire,15.2
698,34007,Involontaire,19.9
699,34235,Malveillance,17.4
700,6148,Malveillance,18.5
701,83069,Malveillance,20.8
702,2A272,Accidentelle,19.8
703,2B002,Malveillance,18.4
704,34093,Malveillance,18.4
705,2B050,Involontaire,20.3
706,13117,Accidentelle,19.4
707,13117,Accidentelle,19.4
708,83003,Naturelle,16.1
709,83082,Involontaire,16.1
710,4045,Malveillance,18.8
711,34341,Malveillance,17.9
712,83137,Malveillance,19.4
713,34095,Involontaire,19.9
714,4004,Involontaire,18.3
715,34143,Involontaire,17.9
716,34213,Malveillance,17.9
717,48065,Involontaire,14.4
718,48194,Involontaire,16.4
719,83153,Malveillance,17.8
720,34015,Involontaire,19.9
721,34268,Malveillance,18.9
722,66156,Involontaire,16.15
723,34145,Involontaire,20.4
724,4113,Involontaire,18.5
725,84035,Malveillance,19.2
726,2B079,Malveillance,18.3
727,34056,Involontaire,20.1
728,5123,Naturelle,17.4
729,34166,Involontaire,19.9
730,30093,Naturelle,20.7
731,83107,Involontaire,20.6
732,13103,Involontaire,19.3
733,13106,Involontaire,19.2
734,2B185,Malveillance,20.4
735,2B222,Malveillance,17.05
736,34329,Involontaire,19.5
737,34017,Malveillance,20.1
738,2B143,Malveillance,19.9
739,34205,Accidentelle,13.6
740,26300,Malveillance,15.0
741,34235,Malveillance,17.4
742,34281,Malveillance,19.7
743,2B105,Malveillance,20.0
744,34308,Malveillance,18.8
745,34168,Malveillance,20.85
746,2A048,Malveillance,19.65
747,30190,Malveillance,17.9
748,34045,Involontaire,20.85
749,2B355,Malveillance,18.3
750,2A326,Involontaire,17.3
